Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,Is_Umpire,Column1
261,AUK Pathan,30850,Right_Hand,Right-arm medium,India,0,
262,UBT Chand,34054,Right_Hand,Right-arm offbreak,India,0,
263,DJ Jacobs,30259,Right_Hand,Right-arm medium,South Africa,0,
264,Sunny Singh,31764,Right_Hand,Right-arm medium-fast,India,0,
265,NJ Rimmington,30266,Right_Hand,Right-arm fast-medium,Australia,0,
266,AL Menaria,33175,Left_Hand,Slow left-arm orthodox,India,0,
267,WD Parnell,32719,Left_Hand,Left-arm medium-fast,South Africa,0,
268,JJ van der Wath,28500,Right_Hand,Right-arm medium-fast,South Africa,0,
269,R Ninan,31370,Right_Hand,Right-arm offbreak,India,0,
270,S Aravind,30780,Left_Hand,Left-arm medium-fast,India,0,
271,MS Wade,32137,Left_Hand,Right-arm medium,Australia,0,
272,TD Paine,31024,Right_Hand,Right-arm medium,Australia,0,
273,SB Wagh,32425,Left_Hand,Left-arm medium-fast,India,0,
274,AC Thomas,28165,Right_Hand,Right-arm fast-medium,England,0,
275,JEC Franklin,29532,Left_Hand,Left-arm medium,New Zealand,0,
276,Shakib Al Hasan,31860,Left_Hand,Slow left-arm orthodox,Bangladesh,0,
277,DH Yagnik,30489,Left_Hand,NULL,India,0,
278,S Randiv,31077,Right_Hand,Right-arm offbreak,Sri Lanka,0,
279,BJ Haddin,28421,Right_Hand,NULL,Australia,0,
280,NLTC Perera,32601,Left_Hand,Right-arm medium-fast,Sri Lanka,0,
281,NL McCullum,29465,Right_Hand,Right-arm offbreak,New Zealand,0,
282,JE Taylor,30855,Right_Hand,Right-arm fast,New Zealand,0,
283,J Syed Mohammad,30470,Left_Hand,Slow left-arm orthodox,India,0,
284,RN ten Doeschate,29402,Right_Hand,Right-arm medium-fast,Netherlands,0,
285,TR Birt,29929,Left_Hand,Right-arm medium,Australia,0,
286,AG Murtaza,32874,Left_Hand,Slow left-arm orthodox,India,0,
287,Harpreet Singh,33461,Left_Hand,Right-arm medium,India,0,
288,M Klinger,29406,Right_Hand,NULL,Australia,0,
289,AC Blizzard,30860,Left_Hand,Left-arm medium,Australia,0,
290,I Malhotra,30825,Right_Hand,Right-arm medium-fast,India,0,
291,L Ablish,30288,Right_Hand,Right-arm medium-fast,India,0,
292,CA Ingram,31231,Left_Hand,Legbreak,South Africa,0,
293,S Nadeem,32732,Right_Hand,Slow left-arm orthodox,India,0,
294,P Parameswaran,31197,Right_Hand,Left-arm medium,India,0,
295,CJ Ferguson,31007,Right_Hand,Right-arm medium,Australia,0,
296,VR Aaron,32810,Right_Hand,Right-arm fast,India,0,
297,AA Chavan,31348,Left_Hand,Slow left-arm orthodox,India,0,
298,ND Doshi,28769,Right_Hand,Slow left-arm orthodox,India,0,
299,B Kumar,32909,Right_Hand,Right-arm medium,India,0,
300,Y Gnaneswara Rao,30919,Right_Hand,Right-arm medium,India,0,
301,S Rana,30943,Right_Hand,Right-arm medium-fast,India,0,
302,BA Bhatt,33006,Left_Hand,Slow left-arm orthodox,India,0,
303,F du Plessis,30876,Right_Hand,Legbreak,South Africa,0,
304,RE Levi,32156,Right_Hand,Right-arm medium,South Africa,0,
305,GJ Maxwell,32430,Right_Hand,Right-arm offbreak,Australia,0,
306,SPD Smith,32661,Right_Hand,Legbreak googly,India,0,
307,MN Samuels,29622,Right_Hand,Right-arm offbreak,West Indies,0,
308,SA Yadav,33130,Right_Hand,Right-arm offbreak,India,0,
309,KK Cooper,32555,Right_Hand,Right-arm medium,West Indies,0,
310,JP Faulkner,32992,Right_Hand,Left-arm fast-medium,Australia,0,
311,HV Patel,33200,Right_Hand,Right-arm medium,India,0,
312,DAJ Bracewell,33144,Right_Hand,Right-arm fast-medium,New Zealand,0,
313,DJ Harris,29220,Right_Hand,Right-arm medium,Australia,0,
314,Ankit Sharma,33348,Left_Hand,Slow left-arm orthodox,India,0,
315,SP Narine,32289,Left_Hand,Right-arm offbreak,West Indies,0,
316,GB Hogg,25970,Left_Hand,Slow left-arm chinaman,Australia,0,
317,RR Bhatkal,31291,Right_Hand,Right-arm medium,India,0,
318,CJ McKay,30367,Right_Hand,Right-arm fast-medium,Australia,0,
319,N Saini,32444,Right_Hand,NULL,India,0,
